Document;Cited
Qu, Y., Pokhrel, S.R., Garg, S., Gao, L., Xiang, Y. ;2
;
 Zhuang, C., Miao, T., Liu, J., Xiong, H. ;1
;
 Marino, R., Wisultschew, C., Otero, A., (...), Portilla, J., Torre, E.D.L. ;0
;
Ahmed, R., Chen, Y., Hassan, B., Du, L. ;1
;
;
Kazi, M.-K., Eljack, F., Mahdi, E. ;0
 Elsisi, M., Tran, M.-Q., Mahmoud, K., Lehtonen, M., Darwish, M.M.F. ;5
 Shahbazi, Z., Byun, Y.-C. ;1
;
 Huo, D., Chaudhry, H.R. ;0
Çal?k, A.;1
;
 Elsisi, M., Mahmoud, K., Lehtonen, M., Darwish, M.M.F. ;9
;
 Cakir, M., Guvenc, M.A., Mistikoglu, S. ;1
;
;
;
;
 Jiang, D., Lin, W., Raghavan, N. ;0
;
 Xia, K., Sacco, C., Kirkpatrick, M., (...), Kircaliali, A., Harik, R. ;1
;
;
;
Simeone, A., Zeng, Y., Caggiano, A. ;0
;
 Nasr, M.M., Anwar, S., Al-Samhan, A.M., Ghaleb, M., Dabwan, A. ;0
;
 Polge, J., Robert, J., Traon, Y.L. ;1
;
 Steindl, G., Stagl, M., Kasper, L., Kastner, W., Hofmann, R. ;0
;
 Ramsgaard Thomsen, M., Nicholas, P., Tamke, M., (...), Sinke, Y., Rossi, G. ;1
 Osswald, P.V., Mustafa, S.K., Kaa, C., (...), Rietzel, D., Witt, G. ;0
Kaya, ?., Erdo?an, M., Kara?an, A., Özkan, B. ;0
;
 Nicholas, P., Rossi, G., Williams, E., Bennett, M., Schork, T. ;2
;
;
 Papananias, M., McLeay, T.E., Obajemu, O., Mahfouf, M., Kadirkamanathan, V. ;2
Reinhardt, D., Haeusler, M.H., London, K., (...), Wozniak-O’Connor, D., Masuda, R. ;0
 Kim, S.J., Cho, J., Lee, C., Shon, T. ;0
 Duc, D.N., Huu, T.T., Nananukul, N. ;0
;
Leong, W.D., Teng, S.Y., How, B.S., (...), Ponnambalam, S.G., Lam, H.L. ;2
 Fischbach, A., Strohschein, J., Bunte, A., (...), Moriz, N., Bartz-Beielstein, T. ;0
;
 Pistolesi, F., Lazzerini, B. ;2
;
;
 Roveda, L., Maskani, J., Franceschi, P., (...), Molinari Tosatti, L., Pedrocchi, N. ;5
Abidi, M.H., Umer, U., Mohammed, M.K., Aboudaif, M.K., Alkhalefah, H. ;0
;
;
;
;
 Ashraf, W.M., Uddin, G.M., Arafat, S.M., (...), Chaudhary, I.A., Krzywanski, J. ;3
;
;
 Ashraf, W.M., Uddin, G.M., Kamal, A.H., (...), Kathia, M.S., Krzywanski, J. ;2
;
;
Li, Y., Carabelli, S., Fadda, E., (...), Tadei, R., Terzo, O. ;7
;
;
;
;
Huang, J., Chang, Q., Arinez, J. ;1
;
;
;
;
 Wang, Y., Li, X., Tsung, F. ;2
;
Choi, T., Seo, Y. ;2
;
;
;
;
 Arachchige, P.C.M., Bertok, P., Khalil, I., (...), Camtepe, S., Atiquzzaman, M. ;17
;
;
Lithoxoidou, E., Ziogou, C., Vafeiadis, T., (...), Voutetakis, S., Tzovaras, D. ;0
;
;
;
 Aboelwafa, M.M.N., Seddik, K.G., Eldefrawy, M.H., Gadallah, Y., Gidlund, M. ;4
;
 Moens, P., Bracke, V., Soete, C., (...), Volckaert, B., Van Hoecke, S. ;0
;
 Simeone, A., Woolley, E., Escrig, J., Watson, N.J. ;0
;
;
 Tannous, M., Miraglia, M., Inglese, F., (...), Milazzo, M., Stefanini, C. ;4
;
 Mishra, D., Gupta, A., Raj, P., (...), Misra, P., Misra, S. ;4
;
;
 Alfeo, A.L., Cimino, M.G.C.A., Manco, G., Ritacco, E., Vaglini, G. ;3
 Farooq, B., Bao, J., Li, J., Liu, T., Yin, S. ;2
;
;
 Wu, Q., Wu, J., Shen, J., Yong, B., Zhou, Q. ;2
;
 Ghahramani, M., Qiao, Y., Zhou, M., Hagan, A., Sweeney, J. ;18
;
;
;
;
;
Martinez, P., Al-Hussein, M., Ahmad, R. ;2
;
 Khoda, M.E., Imam, T., Kamruzzaman, J., Gondal, I., Rahman, A. ;4
 Funke, T., Becker, T. ;0
;
;
;
 Penumuru, D.P., Muthuswamy, S., Karumbu, P. ;12
;
;
;
;
;
 Alexopoulos, K., Nikolakis, N., Chryssolouris, G. ;11
;
;
;
