Concern;Industry;Year
cyber security;computer and electronic product ;2021
;;
process improvement;primary metal;2021
;;
maintenance;chemical;2021
;;
Communication;computer and electronic product ;2021
;;
;;
process improvement;chemical;2021
product improvement;electrical equipment appliance and component;2021
cyber security;computer and electronic product ;2021
;;
business and finance;generic;2021
process design;machinery;2021
;;
maintenance;electrical equipment appliance and component;2021
;;
product design;electrical equipment appliance and component;2021
;;
;;
;;
;;
process design;computer and electronic product ;2021
;;
process design;generic;2021
;;
;;
;;
process design;primary metal;2021
;;
process improvement;machinery;2020
;;
process improvement;generic;2020
;;
product design;electrical equipment appliance and component, chemical, fabricated metal product;2020
;;
process design;machinery;2020
process improvement;transportation equipment;2020
process design;generic;2020
;;
process design;machinery;2020
;;
;;
process improvement;fabricated metal product;2020
product design;machinery;2020
cyber security;generic;2020
product design;transportation equipment;2020
;;
sustainability;electrical equipment appliance and component;2020
process design;chemical;2020
;;
Health;generic;2020
;;
;;
Health;machinery;2020
maintenance;machinery;2020
;;
;;
;;
;;
process improvement;electrical equipment appliance and component;2020
;;
;;
process improvement;electrical equipment appliance and component;2020
;;
;;
process improvement;Plastic and rubber products;2020
;;
;;
;;
;;
process improvement;generic;2020
;;
;;
;;
;;
business and finance;generic;2020
;;
process improvement;transportation equipment;2020
;;
;;
;;
;;
cyber security;generic;2020
;;
;;
process improvement;chemical;2020
;;
;;
;;
cyber security;computer and electronic product ;2020
;;
maintenance;fabricated metal product;2020
;;
process improvement;food;2020
;;
;;
process improvement;machinery;2020
;;
process improvement;fabricated metal product;2020
;;
;;
maintenance;machinery;2020
maintenance;textile mills;2020
;;
;;
process improvement;transportation equipment;2020
;;
process improvement;electrical equipment appliance and component;2020
;;
;;
;;
;;
;;
process improvement;fabricated metal product;2020
;;
cyber security;computer and electronic product ;2020
process improvement;generic;2020
;;
;;
;;
process improvement;fabricated metal product;2020
;;
;;
;;
;;
;;
process design;generic;2020
;;
;;
;;
;;
process improvement;transportation equipment;2020
;;
;;
process improvement;chemical;2020
;;
;;
process improvement;machinery;2020
;;
;;
;;
product improvement;machinery;2020
;;
;;
;;
maintenance;machinery;2020
;;
;;
;;
;;
;;
process improvement;generic;2020
;;
process improvement;food, chemical;2020
;;
;;
;;
cyber security;fabricated metal product;2020
;;
;;
;;
process design;chemical;2020
;;
Health;generic;2020
;;
;;
;;
process improvement;electrical equipment appliance and component;2020
;;
;;
;;
process improvement;electrical equipment appliance and component;2020
;;
;;
;;
Communication;computer and electronic product ;2020
;;
maintenance;machinery;2020
process improvement;primary metal;2021
;;
;;
process improvement;chemical;2020
;;
process improvement;machinery;2020
;;
maintenance;generic;2020
;;
maintenance;machinery;2020
;;
cyber security;generic;2020
;;
;;
maintenance;machinery;2020
;;
process improvement;food;2020
;;
;;
;;
;;
maintenance;transportation equipment;2020
;;
;;
maintenance;machinery;2020
;;
;;
;;
cyber security;generic;2020
;;
;;
;;
;;
process improvement;transportation equipment;2020
;;
;;
maintenance;generic;2020
;;
;;
process improvement;machinery;2020
;;
;;
;;
;;
Communication;computer and electronic product ;2020
;;
process improvement;generic;2020
maintenance;transportation equipment;2020
;;
process improvement;generic;2020
process improvement;electrical equipment appliance and component;2020
;;
;;
;;
;;
;;
;;
process improvement;machinery;2020
process improvement;machinery;2020
;;
process improvement;machinery;2019
;;
;;
process improvement;machinery;2019
;;
;;
;;
maintenance;machinery;2019
;;
;;
;;
;;
process improvement;electrical equipment appliance and component;2019
;;
;;
;;
process improvement;machinery;2019
;;
process design;electrical equipment appliance and component;2019
;;
;;
product design;generic;2019
;;
process improvement;machinery;2019
;;
;;
;;
;;
process improvement;machinery;2019
;;
;;
process improvement;machinery;2019
;;
;;
;;
business and finance;generic;2019
;;
;;
process improvement;generic;2019
;;
process design;electrical equipment appliance and component;2019
;;
;;
;;
process improvement;transportation equipment;2019
;;
;;
;;
;;
;;
;;
;;
process improvement;computer and electronic product ;2019
Communication;computer and electronic product ;2019
;;
process improvement;fabricated metal product;2019
;;
process improvement;generic;2019
;;
process improvement;fabricated metal product;2019
;;
maintenance;fabricated metal product;2019
;;
business and finance;miscellaneous;2018
;;
maintenance;machinery;2018
;;
;;
process improvement;electrical equipment appliance and component;2018
;;
process improvement;chemical;2018
;;
process improvement;machinery;2018
;;
;;
cyber security;electrical equipment appliance and component;2018
;;
;;
;;
;;
maintenance;electrical equipment appliance and component;2018
;;
maintenance;electrical equipment appliance and component;2018
maintenance;machinery;2018
;;
;;
process design;generic;2018
maintenance;machinery;2017
;;
;;
maintenance;machinery;2017
;;
;;
process design;machinery;2017
;;
;;
;;
;;
process design;chemical;2017
process improvement;generic;2016
;;
process improvement;generic;2016
process design;generic;2016
;;
;;
process design;machinery;2016
;;
;;
;;
