basic_technique;specific_technique
Markov Decision Process;Markov Decision Process
Deep Learning;Convolutional Neural Network
Markov Decision Process;Markov Decision Process
;
Neighborhood;K-nearest Neighbor
Kernel;Support Vector Machine
Kernel;Support Vector Machine
;
;
Deep Learning;Artificial Neural Network
Deep Learning;Convolutional Neural Network
Tree;Extreme Gradient Boosting
;
Deep Learning;Artificial Neural Network
Fuzzy;Pythagorean Fuzzy Set AHP
;Pythagorean Fuzzy Set TOPSIS
Tree;Decision Tree
;
Kernel;Linear Discriminant Analysis
Kernel;Support Vector Machine
Neighborhood;K-nearest Neighbor
Tree;Decision Tree
Tree;Random Forest
Kernel;Gaussian Mixture Model
Tree;Adaptive Boosting
Markov Decision Process;Q-learning
;
;
;
Neural Network;Feed-forward Neural Network
;
Deep Learning;Artificial Neural Network
Fuzzy;Fuzzy
Time Series Classification;Word Extraction for Time Series Classification
;
Neural Network;Recurrent Neural Network
;
Deep Learning;Deep Neural Network
Regression;Gaussian Process Regression
Fuzzy;Intuitionisc Fuzzy Set AHP
Fuzzy;Intuitionisc Fuzzy Set TOPSIS
Neural Network;Neural Network
;
;
Fuzzy;Fuzzy C-means
Neural Network;Neural Network
Meta-heuristic;Genetic Algorithm
Deep Learning;Artificial Neural Network
;
Neural Network;Back-propagation Neural Network
Regression;Gaussian Process Regression
Tree;Random Forest
Deep Learning;Multi-layer Perceptron
Kernel;Support Vector Machine
Neighborhood;K-nearest Neighbor
Deep Learning;Artificial Neural Network
Neural Network;Recurrent Neural Network
Kernel;Support Vector Machine
Neighborhood;K-nearest Neighbor
Meta-heuristic;Spotted Hyena Optimization
Meta-heuristic;Whale Optimization Algorithm
Kernel;Least Square Support Vector Machine
Deep Learning;Interval Adjoint Significance Analysis
Deep Learning;Artificial Neural Network
Kernel;Least Square Support Vector Machine
Deep Learning;Artificial Neural Network
Regression;Multiple Linear Regression
Tree;Random Forest
Meta-heuristic;Tabu Search
Meta-heuristic;Genetic Algorithm
Deep Learning;Multi-layer Perceptron
Kernel;Support Vector Machine
Neural Network;Long Short-term Memory
Tree;Random Forest
Regression;Linear Regression
Deep Learning;Multi-layer Perceptron
Neighborhood;K-nearest Neighbor
Neural Network;Long Short-term Memory
Deep Learning;Multi-layer Perceptron
Tree;Random Forest
Tree;Extra Tree
Tree;Gradient Boosting
Tree;Adaptive Boosting
Tree;Extreme Gradient Boosting
