"OPEN ACCESS,,""YEAR"",,""AUTHOR NAME"",,""SUBJECT AREA"",,""DOCUMENT TYPE"",,""PUBLICATION STAGE"",,""SOURCE TITLE"",,""KEYWORD"",,""AFFILIATION"",,""FUNDING SPONSOR"",,""COUNTRY"",,""SOURCE TYPE"",,""LANGUAGE"","
"All Open Access,""31"",""2021"",""5"",""Lee, J."",""3"",""Arts and Humanities"",""6"",""Article"",""60"",""final"",""62"",""Economics Management And Financial Markets"",""6"",""Industry 4.0"",""49"",""University of Cincinnati"",""4"",""Horizon 2020 Framework Programme"",""3"",""United States"",""14"",""Journal"",""66"",""English"",""66"""
"Gold,""19"",""2020"",""34"",""Colombo, A.W."",""2"",""Biochemistry, Genetics and Molecular Biology"",""3"",""Review"",""6"",""aip"",""4"",""Journal Of Self Governance And Management Economics"",""6"",""Machine Learning"",""23"",""The Cognitive Labor Institute"",""2"",""National Natural Science Foundation of China"",""2"",""China"",""8"",,,,"
"Hybrid Gold,""1"",""2019"",""12"",""Frontoni, E."",""2"",""Business, Management and Accounting"",""14"",,,,,""Manufacturing Letters"",""5"",""Artificial Intelligence"",""21"",""The Institute of Technology and Business in Ceske Budejovice"",""2"",""National Science Foundation"",""2"",""Canada"",""5"",,,,"
"Bronze,""7"",""2018"",""7"",""Gallagher, C."",""2"",""Chemical Engineering"",""2"",,,,,""IEEE Access"",""3"",""Embedded Systems"",""21"",""CLI"",""2"",""Aalto-Yliopisto"",""1"",""Germany"",""5"",,,,"
"Green,""12"",""2017"",""3"",""O'Donovan, P."",""2"",""Chemistry"",""3"",,,,,""Sensors Switzerland"",""3"",""Cyber Physical System"",""18"",""University of Zilina"",""2"",""Academic Excellence Foundation of BUAA for PHD Students"",""1"",""Italy"",""5"",,,,"
",,""2016"",""4"",""O'Sullivan, D.T.J."",""2"",""Computer Science"",""33"",,,,,""Advances In Mechanical Engineering"",""2"",""Internet Of Things"",""16"",""National University of Singapore"",""2"",""Association Nationale de la Recherche et de la Technologie"",""1"",""Australia"",""4"",,,,"
",,""2015"",""1"",""Paolanti, M."",""2"",""Decision Sciences"",""1"",,,,,""Computers In Industry"",""2"",""Big Data"",""10"",""Hochschule Emden/Leer"",""2"",""Bundesministerium für Bildung und Forschung"",""1"",""India"",""4"",,,,"
",,,,""Romeo, L."",""2"",""Economics, Econometrics and Finance"",""13"",,,,,""International Journal Of Computer Integrated Manufacturing"",""2"",""Cyber-physical System"",""10"",""University of Science and Technology Beijing"",""2"",""Conselho Nacional de Desenvolvimento Científico e Tecnológico"",""1"",""Spain"",""4"",,,,"
",,,,""Singh, J."",""2"",""Energy"",""3"",,,,,""Journal Of Intelligent Manufacturing"",""2"",""Learning Systems"",""10"",""Universidade do Vale do Rio dos Sinos"",""2"",""Coordenação de Aperfeiçoamento de Pessoal de Nível Superior"",""1"",""Sweden"",""4"",,,,"
",,,,""Al-Samhan, A.M."",""1"",""Engineering"",""36"",,,,,""Sustainability Switzerland"",""2"",""Cyber-physical Systems (CPS)"",""8"",""University College Cork"",""2"",""Deanship of Scientific Research, King Saud University"",""1"",""Brazil"",""3"",,,,"
